Variable,Lead_Time,Error_Type,Min,Max,Mean,Median,IQR,RMSE
GHI,32,Relative,-35.79601990049751,0.9966617210682494,-0.4162623555082129,0.0035393411380343354,0.1560621860817535,
GHI,33,Relative,-39.766666666666666,0.9982150825524319,-0.5292476446615861,0.00043412198827868164,0.18040998755183554,
GHI,34,Relative,-41.54929577464789,0.9924812030075187,-0.6062741193335208,-0.0010393638436194362,0.2087430505504408,
GHI,35,Relative,-45.025700553228916,0.9978791092258749,-0.6172450276296605,-0.00228270412642661,0.2226336302895323,
GHI,36,Relative,-44.666666666666664,0.996319018404908,-0.6336357561006787,-0.004576659038901602,0.23635231186341316,
GHI,37,Relative,-43.333333333333336,0.998766954377312,-0.5930458300120788,-0.006779661016949152,0.22835765221098323,
GHI,38,Relative,-38.904761904761905,1.0,-0.5039294356743311,-0.010380622837370242,0.20860394998410356,
GHI,39,Relative,-34.0,1.0,-0.37218023018446994,-0.02081307885622092,0.2081585457674518,
GHI,40,Relative,-27.049474481616265,1.0,-0.29371048103308606,-0.03626511046269274,0.2207621150736382,
GHI,41,Relative,-20.879227053140095,0.9992219917012448,-0.195157873337099,-0.07080696202531636,0.2118121578795736,
GHI,42,Relative,-8.499999999999998,1.0,-0.1110078155238258,-0.1398761675088041,0.21685459383541117,
GHI,43,Relative,-2.099041533546326,0.99601593625498,-0.04376329156776563,-0.13783783783783787,0.20168067226890743,
GHI,44,Relative,,,,,,
GHI,45,Relative,,,,,,
GHI,46,Relative,,,,,,
GHI,47,Relative,,,,,,
GHI,48,Relative,,,,,,
GHI,1,Percentage,,,,,,
GHI,2,Percentage,,,,,,
GHI,3,Percentage,,,,,,
GHI,4,Percentage,0.0,121.35922330097087,27.10054675158338,22.82282282282282,7.866931687415004,
GHI,5,Percentage,0.0,947.2636815920398,30.344285486809998,11.34020618556701,24.715287574883973,
GHI,6,Percentage,0.0,1618.75,40.50046338267424,7.768892327959429,30.85030205843494,
GHI,7,Percentage,0.0,2421.8009478672984,46.39216371241701,5.612244897959191,31.606313834726123,
GHI,8,Percentage,0.0,3303.3175355450235,57.239031532012135,4.5495536157207965,35.3785119235926,
GHI,9,Percentage,0.0,3915.2380952380954,67.87476151315633,4.585243851604835,38.15646279687546,
GHI,10,Percentage,0.0,4285.714285714285,78.31282062787469,5.221799746514582,40.71524605417365,
GHI,11,Percentage,0.0,4409.523809523809,80.37596241083355,6.306075365290942,41.96486993120767,
GHI,12,Percentage,0.0,4347.619047619048,85.25923141867148,7.504116678428599,45.427439527591105,
GHI,13,Percentage,0.0,4347.619047619048,82.971559999696,8.302027913803077,46.33043021247841,
GHI,14,Percentage,0.0,3790.4761904761904,74.27836095778723,8.321775312066574,44.63758498985411,
GHI,15,Percentage,0.0,3113.6363636363635,59.834092224447744,8.974358974358978,38.095489038785836,
GHI,16,Percentage,0.0,2597.0297029702965,49.15059937397033,9.66896880209573,32.20327908014319,
GHI,17,Percentage,0.0,1886.2068965517237,37.22241842997532,11.577181208053688,27.086446658364462,
